ID_PESS,ZONA_D
80555102,8
80559101,0
80559102,7
80559102,8
80559103,20
80559104,7
80559104,8
80562101,17
80562101,8
80562102,8
80562103,0
80562104,8
80562105,8
80566101,9
80566101,8
80566101,7
80566102,8
80566102,7
80574101,43
80574101,8
80574101,15
80574102,1
80574102,8
80585101,0
80585102,37
80585102,8
80585103,35
80585103,8
80585104,8
80593101,7
80593101,8
80593102,7
80593102,8
80593201,7
80593201,8
80593202,7
80593202,8
80593301,91
80593301,8
80593301,7
80593302,91
80593302,8
80593303,8
80593401,8
80593402,0
80593403,8
80593404,8
80593405,0
80609101,7
80609101,8
80609101,36
80631101,13
80631101,8
80631102,14
80631102,8
80631103,87
80631103,8
80631104,0
80631105,14
80631105,8
80649101,19
80649101,8
80649102,79
80649102,8
80739101,0
80739102,13
80739102,8
80739103,13
80739103,8
80739104,0
81559101,0
81559102,0
81579101,8
81579102,8
81579103,8
81589101,8
81589102,8
81589102,5
81589102,93
81589103,8
81589104,136
81589104,8
81589105,136
81589105,8
81589106,37
81589106,8
81589107,8
81874101,8
81874102,91
81874102,8
81874102,37
81874103,5
81874103,8
81874104,5
81874104,8
81874105,8
81874106,7
81874106,8
81874106,37
81876101,9
81876101,8
81876101,14
81876102,14
81876102,9
81876102,8
81876103,9
81876103,8
81876201,8
81876201,112
81876202,9
81876202,8
81876203,136
81876203,8
81876204,9
81876204,8
81878101,8
81883101,8
81883102,8
81883103,129
81883103,8
90001101,2
90001101,9
90001102,128
90001102,9
90002101,9
90002101,7
90002102,9
90002102,7
90002103,9
90002103,7
90002104,9
90002104,7
90003101,6
90003101,9
90003102,80
90003102,9
90004101,17
90004101,9
90004102,7
90004102,9
90004103,7
90004103,9
90007101,57
90007101,9
90008101,0
90009101,9
90009102,9
90009103,9
90010101,129
90010101,9
90010102,0
90010103,0
90010104,0
90012101,362
90012101,9
90012102,2
90012102,9
90015101,10
90015101,9
90015102,10
90015102,9
90029101,154
90029101,9
90029102,164
90029102,9
90029103,0
90031101,10
90031101,9
90031101,339
90032101,37
90032101,9
90032102,65
90032102,9
90032103,131
90032103,9
90032104,9
90034101,9
90034102,0
90037101,7
90037101,9
90037102,7
90037102,9
90039101,214
90039101,2
90039101,9
90042101,9
90042102,0
90043101,10
90043101,8
90043101,9
90043101,43
90043102,43
90043102,9
90043103,10
90043103,9
90043104,8
90043104,9
90045101,144
90045101,9
90045102,162
90045102,9
90049101,24
90049101,9
90049102,9
90049103,0
90050101,28
90050101,9
90050102,23
90050102,9
90050103,287
90050103,9
90301101,7
90301101,9
90301102,7
90301102,9
90302101,165
90302101,9
90302101,35
90302102,9
90302103,7
90302103,9
90302103,35
90302104,35
90302104,9
90309101,144
90309101,9
90309102,14
90309102,9
90592101,129
90592101,9
90592101,26
90597101,37
90597101,9
90597102,0
90597103,0
90597104,77
90597104,9
90599101,5
90599101,9
90599102,165
90599102,9
90599103,165
90599103,9
90606101,0
90606102,8
90606102,9
90606103,9
90607101,93
90607101,58
90607101,9
90608101,2
90608101,9
90608102,94
90608102,9
90608103,9
90608104,12
90608104,9
90610101,34
90610101,9
90612101,12
90612101,9
90612102,12
90612102,9
90612103,10
90612103,9
90612103,12
90615101,0
90615102,0
90615103,0
90615104,13
90615104,9
90616101,9
90616102,0
90616103,9
90616104,160
90616104,9
90616105,10
90616105,9
90616106,9
90616106,10
90616107,10
90616107,9
90623101,56
90623101,9
90623102,0
90623103,0
90623104,0
90642101,128
90642101,9
90642102,128
90642102,9
90649101,43
90649101,9
90649102,0
90649103,0
90653101,0
90653102,10
90653102,9
90653102,12
90653103,10
90653103,9
90653104,123
90653104,9
90665101,37
90665101,9
90665102,0
90665103,37
90665103,9
90680101,7
90680101,9
90680102,12
90680102,9
90684101,152
90684101,9
91291101,161
91291101,9
91291102,161
91291102,9
91291103,161
91291103,9
91300101,5
91300101,9
91300102,36
91300102,9
91305101,81
91305101,405
91305101,9
91305102,300
91305102,9
91320101,31
91320101,9
91346101,82
91346101,9
91346102,347
91346102,9
91367101,68
91367101,29
91367101,9
91367102,128
91367102,9
91367102,7
91367103,128
91367103,9
91388101,0
91388102,7
91388102,9
91394101,7
91394101,9
91394102,7
91394102,9
91394103,7
91394103,9
91397101,9
91397102,9
100015101,151
100015101,10
100015101,12
100015102,12
100015102,10
100015103,12
100015103,10
100016101,30
100016101,8
100016101,10
100016102,8
100016102,10
100016103,8
100016103,10
100018101,10
100018102,10
100018103,10
100019101,0
100019102,14
100019102,10
100019103,0
100019104,12
100019104,10
100022101,31
100022101,10
100022102,0
100022103,0
100023101,47
100023101,10
100023102,12
100023102,10
100023103,12
100023103,10
100023103,169
100023104,10
100036101,63
100036101,10
100036102,0
100043101,0
100043102,0
100043103,164
100043103,10
100044101,42
100044101,12
100044101,11
100044101,10
100044102,265
100044102,162
100044102,10
100044103,11
100044103,10
100044104,11
100044104,10
100320101,10
100335101,12
100335101,10
100335102,10
100335103,10
100335104,10
100336101,0
100336102,12
100336102,10
100336103,0
100337101,12
